,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
1225,2021-12-09,AA006B,Shoe Porto AA 006B Mix size 31-35 @40,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1226,2021-12-09,JELA-1,PortoLady ELA-1 size 36-40 @48,Fast,0.0,2.0,17.0,6.0,1.0,5.0,15.0,2.0
1227,2021-12-09,BA202L-1,Shoe Porto BA 202L-1 size 36-40 @40,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,90.0,-89.0
1228,2021-12-09,E1028M-2,EVA Porto 1028M-2 size 40-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229,2021-12-09,E1028K-3,EVA Porto 1028K-3 size 24-29 @96,Very Fast,0.0,0.0,0.0,17.0,0.0,17.0,271.0,-271.0
1230,2021-12-09,AA014L-31,Shoe Porto AA 014L Gemblue size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1231,2021-12-09,JROS,PortoLady ROS size 36-40 @36,Medium,20.0,46.0,34.0,3.0,5.0,-2.0,118.0,-84.0
1232,2021-12-09,BC200L,Shoe Porto BC 200L size 37-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1233,2021-12-09,JXEM,PortoLady XEM size 36-40 @48,Fast,0.0,11.0,0.04,0.0,11.0,-11.0,17.0,-16.96
1234,2021-12-09,AA005L-10,Shoe Porto AA 005L Red size 36-40 @20,Very Fast,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
1235,2021-12-09,E0602K,EVA Porto 602K size 24-29 @96,Fast,9.0,10.0,180.0,2.0,1.0,1.0,5.0,175.0
1236,2021-12-09,E5012K,EVA KananKiri K5012 size 24-29 @72,Slow,0.0,0.0,0.0,1.0,0.0,1.0,49.0,-49.0
1237,2021-12-09,AB012M-00,Shoe Porto AB 012M Black size 39-43 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1238,2021-12-09,E0602B,EVA Porto 602B size 30-35 @72,Fast,165.0,128.0,235.0,15.0,0.0,15.0,41.0,194.0
1239,2021-12-09,AD303B-35,Shoe Porto AD 303B Navy size 31-35 @20,Very Fast,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
1240,2021-12-09,JNEO,PortoLady NEO size 36-40 @36,Medium,33.0,47.0,44.0,5.0,21.0,-16.0,15.0,29.0
1241,2021-12-09,BA201B,Shoe Porto BA 201B size 31-35 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,108.0,-108.0
1242,2021-12-09,E1025M,EVA Porto 1025M size 39-44 @48,Slow,6.0,6.0,7.0,2.0,0.0,2.0,5.0,2.0
1243,2021-12-09,JSYS,PortoLady SYS size 36-40 @36,Medium,4.0,10.0,218.0,9.0,6.0,3.0,22.0,196.0
1244,2021-12-09,E1028M-2,EVA Porto 1028M-2 size 40-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,2021-12-09,E1006B,EVA Porto 1006B size 30-35 @72,Fast,26.0,32.0,73.0,30.0,2.0,28.0,81.0,-8.0
1246,2021-12-09,E1023K-7,EVA Porto 1023K-7 size 24-29 @96,Very Fast,15.0,20.0,72.0,17.0,0.0,17.0,37.0,35.0
1247,2021-12-09,AA008M-53,Shoe Porto AA 008M Coffee size 39-43 @20,Very Fast,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1248,2021-12-09,E0711L,EVA Porto 711L size 36-40 @48,Fast,109.0,114.0,178.0,33.0,0.0,33.0,83.0,95.0
1249,2021-12-09,E0605M,EVA Porto 605M size 39-44 @48,Very Fast,116.0,146.0,305.0,85.0,15.0,70.0,156.0,149.0
1250,2021-12-09,JKSM,PortoLady KSM size 36-40 @24,Medium,0.0,5.0,10.0,20.0,0.0,20.0,217.0,-207.0
1251,2021-12-09,AA015M,Shoe Porto AA 015M Mix size 39-43 @20,Very Fast,0.0,0.0,219.0,0.0,0.0,0.0,0.0,219.0
1252,2021-12-09,BB202L,Shoe Porto BB 202L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253,2021-12-09,E1036M,EVA Porto 1036M size 39-44 @48,Slow,0.0,0.0,0.0,3.0,0.0,3.0,42.0,-42.0
1254,2021-12-09,E3032L,EVA Porto 3032L size 36-40 @72,Medium,211.0,118.0,119.0,9.0,3.0,6.0,38.0,81.0
1255,2021-12-09,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1256,2021-12-09,AD305K-35,Shoe Porto AD 305K Navy size 26-30 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1257,2021-12-09,E1006K,EVA Porto 1006K size 24-29 @96,Very Fast,0.0,1.0,2.0,16.0,2.0,14.0,57.0,-55.0
1258,2021-12-09,AD302K-12,Shoe Porto AD 302K Pink size 26-30 @20,Very Fast,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
1259,2021-12-09,AA015L,Shoe Porto AA 015L Mix size 36-40 @20,Very Fast,0.0,0.0,218.0,0.0,0.0,0.0,0.0,218.0
1260,2021-12-10,AB012M-00,Shoe Porto AB 012M Black size 39-43 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1261,2021-12-10,E-1023L-3,EVA Porto 1023L-3 size 36-40 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262,2021-12-10,JZEN,PortoLady ZEN size 36-40 @36,Slow,12.0,12.0,103.0,0.0,0.0,0.0,5.0,98.0
1263,2021-12-10,E1006M,EVA Porto 1006M size 39-44 @48,Very Fast,20.0,3.0,97.0,8.0,1.0,7.0,108.0,-11.0
1264,2021-12-10,E0035K,EVA KananKiri K35 size 24-29 @96,Fast,70.0,46.0,50.0,4.0,0.0,4.0,23.0,27.0
1265,2021-12-10,JWOS-C,PortoLady WOS-C size 36-40 @48,Slow,0.0,0.0,3.35,0.0,0.0,0.0,1.0,2.35
